Common Name,Official MSA Name,parcl_id
New York,New York-Newark-Jersey City,2900187
Los Angeles,Los Angeles-Long Beach-Anaheim,2900078
Chicago,Chicago-Naperville-Elgin,2899845
Dallas,Dallas-Fort Worth-Arlington,2899734
Houston,Houston-Pasadena-The Woodlands,2899967
Washington,Washington-Arlington-Alexandria,2900475
Philadelphia,Philadelphia-Camden-Wilmington,2900244
Atlanta,Atlanta-Sandy Springs-Roswell,2887280
Miami,Miami-Fort Lauderdale-West Palm Beach,2900128
Phoenix,Phoenix-Mesa-Chandler,2900245
Boston,Boston-Cambridge-Newton,2899625
Riverside,Riverside-San Bernardino-Ontario,2900295
San Francisco,San Francisco-Oakland-Fremont,2900336
Detroit,Detroit-Warren-Dearborn,2899753
Seattle,Seattle-Tacoma-Bellevue,2900353
Minneapolis,Minneapolis-St. Paul-Bloomington,2900137
Tampa,Tampa-St. Petersburg-Clearwater,2900417
San Diego,San Diego-Chula Vista-Carlsbad,2900332
Denver,Denver-Aurora-Centennial,2899750
Baltimore,Baltimore-Columbia-Towson,2887292
St. Louis,St. Louis,2900321
Orlando,Orlando-Kissimmee-Sanford,2900213
Charlotte,Charlotte-Concord-Gastonia,2899841
San Antonio,San Antonio-New Braunfels,2900331
Portland,Portland-Vancouver-Hillsboro,2900266
Pittsburgh,Pittsburgh,2900251
Austin,Austin-Round Rock-San Marcos,2887289
Sacramento,Sacramento-Roseville-Folsom,2900315
Las Vegas,Las Vegas-Henderson-North Las Vegas,2900049
Cincinnati,Cincinnati,2899647
Kansas City,Kansas City,2900012
Columbus,Columbus,2899671
Cleveland,Cleveland,2899654
Indianapolis,Indianapolis-Carmel-Greenwood,2899979
Nashville,Nashville-Davidson-Murfreesboro-Franklin,2900174
San Jose,San Jose-Sunnyvale-Santa Clara,2900338
Virginia Beach,Virginia Beach-Chesapeake-Norfolk,2900462
Jacksonville,Jacksonville,2899989
Providence,Providence-Warwick,2900275
Milwaukee,Milwaukee-Waukesha,2900134
Raleigh,Raleigh-Cary,2900282
Oklahoma City,Oklahoma City,2900205
Louisville,Louisville/Jefferson County,2900079
Memphis,Memphis,2900122
Richmond,Richmond,2900292
Salt Lake City,Salt Lake City-Murray,2900329
Birmingham,Birmingham,2899611
Fresno,Fresno,2899715
Buffalo,Buffalo-Cheektowaga,2899645
Hartford,Hartford-West Hartford-East Hartford,2899944
Grand Rapids,Grand Rapids-Wyoming-Kentwood,2899916
Tucson,Tucson,2900436